1,pbkdf2_sha256$36000$TqEWeq8WLqmz$sERTQUxbqcKhzzmIEs+9ZXLHexZQQpmKcfzZtLp0Ldw=,2017-12-07 09:00:38.819571,1,,,ghuang@wpi.edu,1,1,2017-11-27 16:10:01.119746,ghh
7,pbkdf2_sha256$36000$wiJkz96qjoFS$6+GEHYsySvmNwd5pWtUR4ULnRaiejDWrSz2vqwNgNVc=,,0,Emma,Delgado,EmmaDelgado@wmail.com,0,1,34:14.1,Emma_Delgado
8,pbkdf2_sha256$36000$lSFR3AWX8qAK$z2xnkevfbRiSMNvLaI3fKApd7rD/NeaRKLi+yVlvftU=,2017-12-07 15:30:22.930878,0,Olivia,Campbell,OliviaCampbell@wmail.com,0,1,,Olivia_Campbell
9,pbkdf2_sha256$36000$ioLK0Jl410IE$fhWGqSYJ+CSYaceWW1rYQuu6zsRGETKlXAPCXMNAuDI=,,0,Sophia,Sherman,SophiaSherman@wmail.com,0,1,34:14.3,Sophia_Sherman
10,pbkdf2_sha256$36000$OJL0R2DAmps8$13UQGu0azF1kAxPezapRvXs8Yzuo1nPSBM1U9Ovc8ZY=,,0,Ava,Simpson,AvaSimpson@wmail.com,0,1,34:14.4,Ava_Simpson
11,pbkdf2_sha256$36000$CeUg7TcomCai$AHSOZA/Se7XoPHKvXKD6tIfIeky7bvqZfGv8DpFgnD0=,2017-12-02 21:36:24.048838,0,Isabella,Vance,IsabellaVance@wmail.com,0,1,,Isabella_Vance
12,pbkdf2_sha256$36000$evWTTZYPyFvI$/4CfoL/7mqTxa3C0J7/B3JQHKCZRsnlic5GoUQoP170=,,0,Noah,Franco,NoahFranco@wmail.com,0,1,34:14.7,Noah_Franco
13,pbkdf2_sha256$36000$3wlnp8ufqhyZ$4jMZhW8x1frE2kHi5JmC8YNK/1ThGtedp2cCdrAuvIE=,2017-12-02 21:27:15.031821,0,Mia,Haynes,MiaHaynes@wmail.com,0,1,34:14.8,Mia_Haynes
14,pbkdf2_sha256$36000$Xd39kNpoCrnA$wn6RNaVOqG1fMvlp08ZQwYfRGUpYpFhiB7cfPyiIaWs=,,0,Liam,Downs,LiamDowns@wmail.com,0,1,34:14.9,Liam_Downs
15,pbkdf2_sha256$36000$H9h1VGxvMH24$UA2MahScfQG1fguYTO+LJ9mughYU/Cg3A3qHHywMLjw=,,0,Abigail,Preston,AbigailPreston@wmail.com,0,1,34:15.0,Abigail_Preston
16,pbkdf2_sha256$36000$WFbrIf6e9SuH$pr0TeazEHXxxYDKBy/wAuyd2SIDSHTTdd7kBFjU+rr4=,,0,Emily,Fry,EmilyFry@wmail.com,0,1,34:15.2,Emily_Fry
17,pbkdf2_sha256$36000$QSjyeKMjF67g$p7K+B34QXyZM70N/1A/zQJvBfzobzOaENS2Cz1jf5ug=,,0,Charlotte,Hinton,CharlotteHinton@wmail.com,0,1,34:15.3,Charlotte_Hinton
18,pbkdf2_sha256$36000$5nZZ8ELEORdn$6d44bdi/o2vraZNBSNvDBZnC8Be62/UPDKWPrEgCbFc=,,0,Harper,Mcintosh,HarperMcintosh@wmail.com,0,1,34:15.4,Harper_Mcintosh
19,pbkdf2_sha256$36000$wtnZ6MPuydwf$0gXkWo3Nt73H3CwMv9u0FAC/KuBUyaDMeYEVp3zf1X8=,,0,Madison,Kirk,MadisonKirk@wmail.com,0,1,34:15.5,Madison_Kirk
20,pbkdf2_sha256$36000$n63zd9CVEujo$tyDBrB4IZvbfK7J5vZnqPmGnADg2wJBCaOHvnp9R4Qg=,,0,Amelia,Jackson,AmeliaJackson@wmail.com,0,1,34:15.6,Amelia_Jackson
21,pbkdf2_sha256$36000$IH3tc3gikiMn$E6QMbNGeyM/GvXfRnHoCC0SEl3I9X+93SncJuXkK6FU=,,0,Elizabeth,Blanchard,ElizabethBlanchard@wmail.com,0,1,34:15.7,Elizabeth_Blanchard
22,pbkdf2_sha256$36000$5eQxQ9hPajnn$UOWL0mKteMmSMILiGS5r1SKtmZeT0Jod23UL+wiL4cM=,,0,Mason,Mccann,MasonMccann@wmail.com,0,1,34:15.9,Mason_Mccann
